Z_COE,T_COE,NIVEL_AE_COE,Z_INFO,T_INFO,NIVEL_AE_INFO,Z_TE,T_TE,NIVEL_AE_TE,AE_Total,T,Nivel_AE_TOTAL,O,C,E,A,N,GENERO,CARRERA,EDAD,CIUDAD,CIVIL,HIJOS,VIVES,NUM_HIJO,PREPA,MOD_PREPA,INGRESOS,HA_TRABAJO,TRABAJO_ACTUAL,PAPAS_TRABAJO,PAPAS_NEGOCIO,COMPU,INTERNET,FORM_LABORAL,BUENAS_RELACIONES,COMPROMISO_TIEMPO,ESCUCHAR_SUGERENCIAS,COLABORAR_AREAS,RESPETAR_DIFERENTES,REALIZAR_CARGA,DISTANCIA_DISTRACCION,ESCUCHAR_DESACUERDO,COMUNICAR_INCONFORMIDADES,COLABORAR_URGENTE,PERSONAS_DIFERENTES,DISTANCIA_TIEMPO,APERTURA_CONFLICTOS,CLIMA_PRESION,PARTICIPAR_PLANIFICACION,RESPETAR_TIEMPOS,RELACION_DESAGRADO,INTEGRARME_EQUIPO,CONFIAR_COMPAÑEROS,INTEGRAR_IDEAS,ESCUCHAR_PTO_DISTINTO,IDENTIFICAR_MITURNO,IDEAS_ENTENDIBLE_IDIOMA,SIN_MALASPALABRAS,PERDERSE_DISCURSO_HABLAR,ORGANIZAR_IDEAS,MULETILLAS_HABLAR,BARBARISMOS_HABLAR,REDUNDANTE_PUBLICO,EXPONER_SINAPOYO,CONTACTO_VISUAL,EXPRESION_SEGURIDAD,POSTURA_ADECUADA,VELOCIDAD_HABLA,VOLUMEN_VOZ,REDACTAR_REMITENTE,ERROR_GRAMATICAL,ESCRIB_ENTENDIBLE_IDEAS,ESCRIB_ORDEN_SECUENCIA,SIN_AUTOCORRECTOR,SIN_TECNICISMOS,CORREO_CONDENSADO,ORTOGRAF_TIC,ASPECTO_VIDEO,RESPONDER_ATIEMPO_TIC,BUSQUEDA_PROFUNDA,PREGUNTAS_PERSONAS,TERMINOS_CLAROS,CONOCER_FUENTES,BUSQUEDA_ESPECIALIZADA,ALMACENAR_INFORMACION,APLICACIONES_VISUALIZAR,ADAPTAR_BUSQUEDA,UTILIZAR_BUSCADORES,COMPARAR_INFORMACION,CONFIRMAR_INFORMACION,VALIDAR_REMITENTE,VALIDAR_AUTOR,ORDEN_FUENTES,IDENTIFICAR_ORGANIZAR,CLASIFICAR_CARPETAS,DIFERENTES_SITIOS,DESARROLLAR_PRESENTACIONES,USO_PARAFRASIS,INCORPORAR_INFORMACION
-2.140173913,28.59826087,AE_Baja_COE,-1.524933215,34.75066785,AE_Baja_INFO,-1.888637648,31.11362352,AE_BAJA_TE,-1.964915144,30.35084856,AE_Baja,60,30,40,95,50,F,Psico,22,Mexico,Soltero,No,Padres,medio,Publica,Escolarizada,menos4000,No,No,si,No,si,Buenas,No,9,6,10,10,9,6,6,10,5,8,7,5,7,7,6,6,7,8,4,7,8,5,7,8,5,6,3,9,7,3,5,6,5,2,5,6,6,7,5,2,7,7,7,9,6,5,5,7,6,7,8,10,9,4,10,10,10,5,8,7,5,7,3,4,5
0.19026087,51.9026087,AE_Normal_COE,0.300534283,53.00534283,AE_Norm_INFO,-0.644997174,43.55002826,AE_NORM_TE,0.156494778,51.56494778,AE_Normal,75,80,15,15,75,F,Psico,23,CDMX,Soltero,No,Padres,Unico,Publica,Escolarizada,45000a50000,No,No,si,si,si,Regulares,No,5,10,10,5,10,5,10,10,10,10,8,9,9,5,10,10,10,7,5,10,10,7,10,10,8,7,8,10,10,8,7,4,3,9,10,10,10,10,10,10,10,10,10,6,6,7,3,6,9,10,10,7,8,10,10,10,10,6,10,10,10,10,10,10,10
0.398956522,53.98956522,AE_Normal_COE,-0.233748887,47.66251113,AE_Norm_INFO,0.372526851,53.72526851,AE_NORM_TE,0.352317232,53.52317232,AE_Normal,50,75,25,75,35,M,Psico,22,CDMX,Soltero,No,Padres,menor,Publica,Escolarizada,menos4000,si,si,si,si,si,Buenas,No,9,8,9,8,9,7,10,10,8,10,10,10,10,10,10,8,10,10,10,10,10,10,8,10,7,8,5,10,10,10,8,8,7,8,8,9,10,8,8,10,8,10,10,10,9,0,5,8,10,10,10,10,10,7,10,10,3,10,7,8,8,10,10,8,10
-1.827130435,31.72869565,AE_Baja_COE,-0.990650045,40.09349955,AE_Norm_INFO,-2.058224986,29.41775014,AE_BAJA_TE,-1.671181462,33.28818538,AE_Baja,50,30,40,20,10,F,Psico,24,Mexico,Soltero,No,Padres,medio,Publica,Escolarizada,10000a18000,No,No,si,si,si,Regulares,si,6,8,8,6,8,8,8,6,6,8,7,6,6,8,8,8,6,6,6,7,7,6,8,8,6,7,7,9,7,7,4,3,3,3,3,8,6,7,7,6,7,6,6,7,7,5,5,6,8,8,8,7,7,7,9,9,9,8,8,7,7,8,7,7,7
-0.470608696,45.29391304,AE_Normal_COE,0.211487088,52.11487088,AE_Norm_INFO,-1.323346523,36.76653477,AE_BAJA_TE,-0.382016971,46.17983029,AE_Normal,60,75,70,95,50,M,Psico,21,CDMX,Soltero,No,Padres,Unico,Publica,Escolarizada,10000a18000,No,No,No,si,si,Buenas,si,7,10,8,8,9,10,4,8,4,8,8,6,9,9,8,9,6,7,8,9,8,9,9,9,6,8,8,7,9,8,4,6,9,8,8,9,7,9,9,7,6,8,6,8,9,10,7,9,10,9,9,9,8,9,10,9,6,9,8,9,10,7,9,10,7
0.920695652,59.20695652,AE_Normal_COE,0.211487088,52.11487088,AE_Norm_INFO,0.259468626,52.59468626,AE_NORM_TE,0.727643603,57.27643603,AE_Normal,50,30,55,30,20,M,Psico,22,Mexico,Soltero,No,Padres,Unico,Publica,Escolarizada,10000a18000,si,si,No,No,si,Regulares,No,7,9,10,10,10,10,7,10,8,10,8,8,10,10,10,10,10,7,10,8,10,10,10,10,10,10,7,10,10,10,8,10,10,10,10,10,8,8,8,8,8,10,9,10,10,5,10,10,10,10,7,10,10,10,10,10,5,5,8,8,8,8,10,10,10
0.955478261,59.55478261,AE_Normal_COE,1.280053428,62.80053428,AE_Norm_INFO,-0.418880724,45.81119276,AE_NORM_TE,0.939784595,59.39784595,AE_Normal,60,50,55,50,85,F,Psico,22,CDMX,Soltero,No,Padres,medio,Publica,Escolarizada,menos4000,No,No,si,No,si,Buenas,si,8,10,10,8,9,10,5,9,8,10,10,7,8,8,10,10,8,9,5,10,9,10,10,10,9,9,9,10,9,9,8,10,10,8,9,10,10,10,10,9,10,10,10,8,9,10,10,9,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10
1.477217391,64.77217391,AE_Alta_COE,1.369100623,63.69100623,AE_Norm_INFO,1.163934426,61.63934426,AE_ALTA_TE,1.674118799,66.74118799,AE_Alta,40,10,25,85,85,M,Psico,21,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,si,si,si,No,si,Buenas,si,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-1.583652174,34.16347826,AE_Baja_COE,-0.011130899,49.88869101,AE_Norm_INFO,-0.701526286,42.98473714,AE_NORM_TE,-0.806298956,41.93701044,AE_Normal,99,50,85,85,5,F,Psico,22,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,10000a18000,si,No,si,si,si,Buenas,No,5,10,8,9,9,10,8,9,9,10,10,10,8,10,9,10,0,7,6,9,7,8,7,5,4,5,4,10,6,4,5,4,4,4,5,4,5,7,5,10,9,10,10,10,10,8,10,8,10,10,10,10,10,5,8,7,8,9,9,10,10,10,7,5,5
0.155478261,51.55478261,AE_Normal_COE,-0.189225289,48.10774711,AE_Norm_INFO,0.033352176,50.33352176,AE_NORM_TE,0.156494778,51.56494778,AE_Normal,65,95,70,30,95,F,Psico,22,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,No,si,si,si,si,Buenas,si,10,10,8,9,10,8,8,10,6,10,10,8,10,8,9,10,8,10,8,8,10,8,8,10,5,8,10,10,9,8,7,10,10,5,10,9,10,8,9,7,8,8,7,10,8,10,7,8,8,9,10,8,8,7,8,10,9,10,9,7,8,7,7,7,8
1.23373913,62.3373913,AE_Alta_COE,0.745770258,57.45770258,AE_Norm_INFO,-0.531938949,44.68061051,AE_NORM_TE,0.841873368,58.41873368,AE_Normal,20,30,70,50,50,F,Psico,20,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,No,No,si,si,si,Buenas,No,8,10,9,8,10,10,5,9,5,8,9,6,8,10,10,10,10,10,5,9,10,10,10,10,8,8,8,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,8,10,5,10,5,10,10,10,10
-1.16626087,38.3373913,AE_Baja_COE,-0.812555654,41.87444346,AE_Norm_INFO,-0.984171849,40.15828151,AE_NORM_TE,-0.985802872,40.14197128,AE_Normal,85,50,40,99,35,F,Psico,36,Mexico,Casado,si,Pareja,Mayor,Privada,Escolarizada,10000a18000,si,No,No,si,si,Buenas,No,8,10,8,8,9,8,7,8,9,9,9,7,8,8,9,6,7,8,6,9,9,9,7,6,6,8,6,8,6,8,7,9,4,7,6,7,7,8,7,6,6,7,6,8,6,7,8,8,8,8,8,7,8,6,7,8,6,7,8,8,8,8,7,8,8
0.398956522,53.98956522,AE_Normal_COE,1.146482636,61.46482636,AE_Norm_INFO,-0.701526286,42.98473714,AE_NORM_TE,0.548139687,55.48139687,AE_Normal,90,99,55,50,90,F,Psico,24,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,menos4000,No,No,si,No,si,Buenas,si,2,10,8,10,7,10,7,7,10,10,10,9,8,6,10,10,7,9,7,8,9,9,9,10,8,9,9,9,9,9,9,7,6,7,7,10,10,10,10,10,10,10,10,7,6,10,10,10,9,10,10,9,10,9,10,10,10,10,10,10,10,10,8,10,10
-0.157565217,48.42434783,AE_Normal_COE,0.033392698,50.33392698,AE_Norm_INFO,-0.418880724,45.81119276,AE_NORM_TE,-0.039327676,49.60672324,AE_Normal,35,90,70,40,35,F,Psico,21,CDMX,Soltero,No,familiar,Unico,Publica,Escolarizada,4500a9000,No,No,si,No,si,Regulares,No,7,10,9,9,9,8,8,9,8,9,8,9,9,8,8,10,9,8,7,8,8,7,8,9,7,7,8,9,8,8,9,8,7,7,8,8,8,8,8,8,9,8,10,9,9,8,9,9,9,9,9,9,8,8,8,9,8,8,8,9,9,8,9,8,8
-1.270608696,37.29391304,AE_Baja_COE,-0.189225289,48.10774711,AE_Norm_INFO,-0.362351611,46.37648389,AE_NORM_TE,-0.626795039,43.73204961,AE_Normal,75,90,70,85,95,F,Psico,29,Mexico,Divorciado,si,familiar,menor,Publica,Escolarizada,10000a18000,si,si,No,si,si,Buenas,No,6,10,9,10,9,10,10,9,6,10,10,10,6,8,8,10,8,7,7,10,8,8,5,5,5,7,5,8,8,7,5,5,5,5,5,8,8,7,7,7,7,7,9,10,10,5,9,9,10,9,9,10,10,5,8,7,8,10,7,7,8,10,10,7,7
-1.16626087,38.3373913,AE_Baja_COE,-1.569456812,34.30543188,AE_Baja_INFO,-1.888637648,31.11362352,AE_BAJA_TE,-1.524314621,34.75685379,AE_Baja,85,90,70,30,60,F,Psico,20,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,menos4000,No,No,si,si,si,Regulares,No,6,8,10,5,6,5,4,10,10,9,9,7,7,10,8,9,4,4,5,8,10,8,8,8,5,8,5,10,10,8,6,6,3,4,4,5,8,6,6,6,5,6,10,10,9,5,10,8,8,8,8,5,5,3,5,10,7,9,7,8,8,5,5,5,5
0.607652174,56.07652174,AE_Normal_COE,-0.634461264,43.65538736,AE_Norm_INFO,-1.040700961,39.59299039,AE_BAJA_TE,-0.104601828,48.95398172,AE_Normal,65,75,25,5,60,F,Psico,19,CDMX,Soltero,No,Padres,menor,Publica,Escolarizada,4500a9000,No,No,No,si,si,Buenas,No,7,10,6,9,8,10,8,8,9,7,8,8,7,7,10,10,7,7,5,8,9,9,9,9,8,9,9,10,10,8,7,7,8,9,10,10,9,9,9,9,9,9,10,10,10,9,8,8,6,9,9,8,7,7,7,9,8,7,6,8,9,7,8,7,8
-0.053217391,49.46782609,AE_Normal_COE,-0.411843277,45.88156723,AE_Norm_INFO,-0.871113624,41.28886376,AE_NORM_TE,-0.284105744,47.15894256,AE_Normal,20,50,15,15,35,M,Psico,22,CDMX,Soltero,No,Padres,menor,Publica,Escolarizada,4500a9000,si,si,si,No,si,Regulares,No,8,8,7,10,9,9,9,10,8,9,8,7,8,9,4,10,7,8,6,7,9,8,7,9,7,7,3,10,10,8,7,9,7,10,3,8,9,9,8,10,8,10,10,10,10,9,10,7,7,7,7,9,6,4,8,8,8,10,10,8,9,8,8,8,9
-1.305391304,36.94608696,AE_Baja_COE,-1.524933215,34.75066785,AE_Baja_INFO,-2.114754098,28.85245902,AE_BAJA_TE,-1.638544386,33.61455614,AE_Baja,60,5,85,65,85,M,Psico,21,CDMX,Soltero,No,Padres,menor,Publica,Escolarizada,4500a9000,No,No,si,No,si,Regulares,No,8,8,9,7,8,5,6,8,4,8,7,8,8,7,4,7,8,6,6,7,9,7,7,7,4,4,7,8,10,8,7,4,4,4,7,8,9,8,6,9,8,6,7,4,8,6,8,7,6,8,7,8,8,8,3,3,6,4,7,8,6,8,8,8,8
0.43373913,54.3373913,AE_Normal_COE,0.879341051,58.79341051,AE_Norm_INFO,-0.305822499,46.94177501,AE_NORM_TE,0.580776762,55.80776762,AE_Normal,65,50,55,5,85,F,Psico,21,Mexico,Soltero,No,Padres,Unico,Publica,Escolarizada,4500a9000,si,No,si,No,si,Regulares,No,8,10,9,9,9,8,9,9,9,9,8,8,8,9,8,9,8,9,8,9,9,10,8,9,8,8,8,10,8,8,9,8,9,8,9,8,9,9,9,9,9,10,9,10,9,10,10,9,9,9,10,10,10,9,9,9,10,10,10,9,10,9,10,9,8
1.372869565,63.72869565,AE_Alta_COE,1.369100623,63.69100623,AE_Norm_INFO,-0.475409836,45.24590164,AE_NORM_TE,1.151925587,61.51925587,AE_Alta,40,40,40,40,20,F,Psico,21,CDMX,Soltero,No,Padres,Unico,Publica,Escolarizada,10000a18000,si,No,No,si,si,Buenas,No,10,10,7,10,7,9,10,10,6,9,6,10,10,10,10,9,5,8,5,10,10,10,10,10,9,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-0.783652174,42.16347826,AE_Normal_COE,-1.302315227,36.97684773,AE_Baja_INFO,-0.531938949,44.68061051,AE_NORM_TE,-0.855254569,41.44745431,AE_Normal,35,5,5,30,5,F,Psico,20,CDMX,Soltero,No,Padres,medio,Publica,Escolarizada,4500a9000,si,si,si,No,si,Regulares,si,10,10,10,10,10,9,5,6,6,10,10,5,6,10,8,8,8,9,10,10,9,9,7,7,5,8,1,8,7,5,10,8,7,7,8,7,9,9,7,10,6,6,8,10,7,5,8,7,6,9,8,10,7,5,7,7,4,4,6,8,10,8,10,5,6
1.059826087,60.59826087,AE_Alta_COE,1.146482636,61.46482636,AE_Norm_INFO,0.598643301,55.98643301,AE_NORM_TE,1.233518277,62.33518277,AE_Alta,35,99,25,50,60,F,Psico,22,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,si,No,si,si,si,Buenas,si,10,10,10,7,9,9,10,10,9,10,10,10,10,10,10,10,7,9,10,10,10,10,9,10,9,9,9,10,9,9,8,9,10,9,10,10,10,9,10,9,10,10,10,10,10,8,9,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10
-0.053217391,49.46782609,AE_Normal_COE,0.478628673,54.78628673,AE_Norm_INFO,-0.475409836,45.24590164,AE_NORM_TE,0.156494778,51.56494778,AE_Normal,35,75,5,15,60,F,Psico,21,Mexico,Soltero,No,Padres,menor,Publica,Escolarizada,10000a18000,si,No,si,No,si,Buenas,No,8,10,7,10,7,9,8,9,10,9,10,10,8,7,10,9,7,8,5,9,7,9,10,10,5,9,7,10,7,9,8,5,5,5,8,10,10,10,8,10,7,8,10,10,9,9,8,9,6,9,10,10,9,10,9,9,9,9,10,10,10,10,8,9,7
-0.992347826,40.07652174,AE_Normal_COE,0.389581478,53.89581478,AE_Norm_INFO,-0.814584511,41.85415489,AE_NORM_TE,-0.414654047,45.85345953,AE_Normal,60,99,55,50,50,M,Psico,19,Mexico,Soltero,No,Padres,menor,Privada,Escolarizada,menos4000,No,No,si,No,si,Buenas,si,8,10,8,9,8,8,9,7,7,10,10,8,8,5,9,10,7,8,6,9,10,8,7,7,7,6,7,10,8,7,8,7,8,7,6,5,4,4,8,4,9,8,8,8,8,10,10,9,9,9,9,9,9,9,9,8,10,9,9,8,8,9,9,8,8
0.712,57.12,AE_Normal_COE,0.612199466,56.12199466,AE_Norm_INFO,0.202939514,52.02939514,AE_NORM_TE,0.760280679,57.60280679,AE_Normal,20,40,99,50,20,F,Psico,21,Mexico,Soltero,No,Padres,Unico,Publica,Escolarizada,4500a9000,No,No,si,No,si,Buenas,No,9,10,9,9,9,10,9,9,9,10,9,10,8,9,9,10,9,8,8,9,10,10,9,10,9,9,9,10,9,9,9,9,9,8,9,9,8,9,9,8,9,9,9,10,10,7,8,9,9,9,9,9,10,10,7,10,10,9,9,10,10,9,10,10,9
-0.088,49.12,AE_Normal_COE,0.567675868,55.67675868,AE_Norm_INFO,0.202939514,52.02939514,AE_NORM_TE,0.36863577,53.6863577,AE_Normal,5,75,70,40,5,F,Psico,25,Mexico,Soltero,No,Padres,medio,Publica,Escolarizada,4500a9000,si,No,si,si,si,Buenas,si,8,10,10,10,10,8,9,10,7,10,10,9,8,10,9,9,8,9,9,9,10,8,8,9,7,7,8,9,8,6,8,7,9,7,9,8,9,8,8,8,9,8,9,9,9,9,8,10,8,10,10,10,10,9,9,10,8,9,10,9,10,9,8,7,9
0.816347826,58.16347826,AE_Normal_COE,1.369100623,63.69100623,AE_Norm_INFO,0.824759751,58.24759751,AE_NORM_TE,1.266155352,62.66155352,AE_Alta,85,75,85,20,75,F,Psico,22,Mexico,Soltero,No,Padres,menor,Publica,Escolarizada,4500a9000,No,No,No,si,si,Buenas,No,10,9,9,10,9,10,10,10,10,10,10,10,8,10,10,10,9,10,10,10,10,10,10,10,5,9,10,10,10,10,10,5,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
0.712,57.12,AE_Normal_COE,0.389581478,53.89581478,AE_Norm_INFO,0.315997739,53.15997739,AE_NORM_TE,0.711325065,57.11325065,AE_Normal,40,10,70,85,10,M,Psico,21,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,No,No,si,No,si,Buenas,No,10,9,10,7,10,8,10,10,8,10,10,9,9,10,9,8,9,10,9,10,10,8,9,9,8,10,10,10,8,10,10,9,10,8,9,9,9,9,10,9,9,8,10,9,8,9,10,10,9,10,10,10,8,5,7,8,9,5,10,10,9,10,10,9,10
